部品№,品名,規格,棚番
122474,ＡＣサーボモータ（Ａ４）　　　　　　　,MSMD5AZP1T,1F-A-01
122475,ＡＣサーボモータ（Ａ４）　　　　　　　,MSMD5AZP1S,1F-A-01
122651,ＡＣサーボモータ　　　　　　　　　　　,MSMD012S1S,1F-A-01
122656,ＡＣサーボモータ　　　　　　　　　　　,MSMD012S1T,1F-A-01
122952,ＡＣサーボモータ　　　　　　　　　　　,MSMD5AZS1S,1F-A-01
123066,ＡＣサーボモータ　　　　　　　　　　　,MSMD5AZS1T,1F-A-01
123478,ＡＣサーボモータ　　　　　　　　　　　,MSMD012S1A,1F-A-01
122398,ＡＣサーボモータ（ミナスＡ）　　　　　,MSMA022A1F,1F-A-02
122460,ＡＣサーボモータ（Ａ４）　　　　　　　,MSMD022P1S,1F-A-02
122476,ＡＣサーボモータ（Ａ４）　　　　　　　,MSMD022P1T,1F-A-02
123067,ＡＣサーボモータ　　　　　　　　　　　,MSMD022S1S,1F-A-02
123479,ＡＣサーボモータ　　　　　　　　　　　,MSMD022S5A,1F-A-02
122461,ＡＣサーボモータ（Ａ４）　　　　　　　,MSMD042P1T,1F-A-03
122648,ＡＣサーボモータ　　　　　　　　　　　,MSMD042S1S,1F-A-03
123068,ＡＣサーボモータ　　　　　　　　　　　,MSMD042S1T,1F-A-03
123480,ＡＣサーボモータ　　　　　　　　　　　,MSMD042S5B,1F-A-03
122462,ＡＣサーボモータ（Ａ４）　　　　　　　,MSMD082P1S,1F-A-04
122647,ＡＣサーボモータ　　　　　　　　　　　,MSMD082S1T,1F-A-04
122649,ＡＣサーボモータ　　　　　　　　　　　,MSMD082S1S,1F-A-04
123481,ＡＣサーボモータ　　　　　　　　　　　,MSMD082S5B,1F-A-04
123482,ＡＣサーボモータ　　　　　　　　　　　,MSMD082S7A,1F-A-04
122463,ＡＣサーボモータ（Ａ４）　　　　　　　,MSMD082P1T,1F-A-05
22826,ハーモニックドライブ（ユニット，φ８）,CSF-14-100-2UH-SP(8MMｱﾅ),1F-B-01
42046,エンコーダ変換基板　　　　　　　　　　,ECB2,1F-B-01
42047,エンコーダ変換基板　　　　　　　　　　,ECB3,1F-B-01
152454,スイッチング電源　　　　　　　　　　　,PLA30F-24,1F-B-01
283607,上下軸変換エンコーダハーネス　　　　　,205053-103-0,1F-B-02
283609,ドライバー側エンコーダハーネス　　　　,205056-001-0,1F-B-02
