客先№,会社名,TEL,FAX,地区名,〒,住所
00001-03,㈱東芝機械セルマック　富山営業所,076-492-3869,076-492-3879,富山,939-8094,富山県富山市大泉本町２丁目８番１５号
00001-04,芝浦機械㈱　静岡営業所,0537-61-2460,0537-61-2488,静岡,436-0056,静岡県掛川市中央１丁目１０番６号
00001-05,㈱東芝機械セルマック　福島出張所,0245-21-0509,,福島,960-8062,福島県福島市清明町１－１０
00001-08,㈱東芝機械セルマック　神奈川営業所,046-295-2201,046-295-2332,神奈川,243-0018,神奈川県厚木市中町４－９－１７　ハラダセンタービル８階
00001-13,東芝機械㈱　滋賀営業所,077-554-2371,077-554-2372,滋賀,520-3047,滋賀県栗東市手原４－７－１３－１
00001-19,㈱東芝機械セルマック　新潟出張所,0256-34-3874,0256-31-1622,新潟,955-0092,新潟県三条市須頃３－３１
00003-00,有明産業㈱,0284-72-2030,0284-72-5718,栃木,326-0823,栃木県足利市朝倉町７４２－６
00005-00,愛和産業㈱,05617-2-1546,05617-3-7172,愛知,470-0115,愛知県日進市折戸町高松５２
00006-00,安城化成㈱,0566-99-0614,0566-99-0444,愛知,444-1165,愛知県安城市野寺町大藪畔６２－６
00007-00,葵化成㈱,052-771-9876,052-771-9605,愛知,463-0036,愛知県名古屋市守山区向台２－３１６
00010-00,アンプラ,0584-66-3802,0584-66-3801,岐阜,503-0305,岐阜県海津市平田町者結２４８－３
00011-00,㈱アラキ金型製作所　本社,0568-31-7476,,愛知,486-0945,愛知県春日井市勝川町８－３－１５
00011-03,㈱アラキ金型製作所　成型工場,0568-75-7878,0568-79-6563,愛知,485-0826,愛知県小牧市大字東田中字菖蒲池１３１５ー１
00013-00,㈱浅井プラスチック,0561-62-0134,0561-63-3030,愛知,480-1103,愛知県長久手市岩作西浦７１番地１
00014-00,安藤化成,0564-47-2252,0564-47-2252,愛知,444-0004,愛知県岡崎市保母町字北二百田３５－６
00015-00,イードリーム株式会社,0568-22-4111,0568-23-5115,愛知,481-0043,愛知県北名古屋市沖村字八反５２－１
00015-00,イードリーム株式会社,0568-22-4111,,愛知,481-0043,愛知県北名古屋市沖村字八反５２－１
00015-00,イードリーム株式会社,0568-22-4111,,愛知,481-0043,愛知県北名古屋市沖村字八反５２－１
00015-00,イードリーム株式会社,0568-22-4111,0568-23-5115,愛知,481-0043,愛知県北名古屋市沖村字八反５２－１
00015-00,イードリーム株式会社,0568-22-4111,,愛知,481-0043,愛知県北名古屋市沖村字八反５２－１
00015-00,イードリーム株式会社,0568-22-4111,,愛知,481-0043,愛知県北名古屋市沖村字八反５２－１
00015-00,イードリーム株式会社,0568-22-4111,,愛知,481-0043,愛知県北名古屋市沖村字八反５２－１
00017-00,旭モールディング㈱,03-3919-3191,,東京,120-0047,東京都足立区宮城１－２－４
00017-01,旭モールディング㈱　本社,03-5855-3560,03-5855-3630,東京,116-0012,東京都荒川区東尾久５－２－１
