部品№,品名,規格,Cereal,保管部署,貸出日,貸出先№,貸出先
331191,ペンダントユニット（銘板無）,"PS1-1.5B  (STEC-S1,STD)",3845,大阪,,,
331191,ペンダントユニット（銘板無）,"PS1-1.5B  (STEC-S1,STD)",A0932,大阪,,,
260702,ＡＤ入力基板,ADIN(100559-ADI-PR01)  ,1210836B,大阪,,,
185222,ペンダント（和文）,STEC-K4-PEN(J),LK4-H-0328,大阪,,,
185222,ペンダント（和文）,STEC-K4-PEN(J),TK4-C-8085,大阪,,,
184050,ペンダントユニット（カン）,STEC-370 P UNIT,,大阪,,,
183431,ペンダント（和文）,STEC-K2(YK2P-R04) ,HK2A-H-10372,大阪,,,
181189,ペンダントユニット（操作銘板無し）,PF1 (STEC-F1) ,9669,大阪,,,
180843,サーボ基板,SVC401A,4102236B,大阪,,,
152414,ペンダントユニット（４．５ｍ銘板無し）,P520-4.5,QJ3798C,大阪,6月16日,30233-04,竹本容器株式会社　岡山事業所
152233,ペンダントユニット（１０ｍ，銘板無し）,P480-10,KL1763,大阪,,,
151326,ペンダントユニット（４．５ｍ銘板無し）,P380-4.5,HE2114E,大阪,,,
151326,ペンダントユニット（４．５ｍ銘板無し）,P380-4.5,IG4219C,大阪,,,
151275,ペンダントユニット（４．５ｍ，和文）,P360A-4.5J,FI7799A,大阪,,,
151254,ペンダントユニット（４ｍ，銘板無し）,P470A-4,FG2739B,大阪,,,
151124,ペンダントユニット（４．５ｍ銘板無し）,P360-4.5,,大阪,,,
151124,ペンダントユニット（４．５ｍ銘板無し）,P360-4.5,HI3709C,大阪,,,
151085,ペンダントユニット（４ｍ，銘板無し）,P460-4,119,大阪,,,
151085,ペンダントユニット（４ｍ，銘板無し）,P460-4,MC4605C,大阪,,,
150904,ペンダントユニット（銘板無）,P400(400M･411･420･430) ,97074125,大阪,,,
150904,ペンダントユニット（銘板無）,P400(400M･411･420･430) ,FE6461A,大阪,,,
150851,ペンダントユニット（４ｍ）,P450-4,2381,大阪,,,
150851,ペンダントユニット（４ｍ）,P450-4,,大阪,,,
150691,電源基板　,PS402,96123497B,大阪,7月7日,50057-01,株式会社八興化成工業所
140062,増設Ｉ／Ｏ基板,OPM401,2032002,大阪,,,
140061,軸通信中継基板,OT401,96112804A,大阪,,,
120532,本体中継基板　,MOT401,96070096,大阪,,,
131277,メイン基板,NA1 MAIN A (V-04),X21090318E,福岡,,,
131277,メイン基板,NA1 MAIN A (V-04),X16110168E,福岡,,,
350076,一軸サーボ基板,SVC-1 9736-PR01,11084462H,福岡,,,
310085,リレー基板,SRY 5043-PR04,8051065,福岡,,,
310085,リレー基板,SRY 5043-PR04,8101084,福岡,,,
180841,インバータユニット,SPC-401(SPC-401C+SPC-1HD),13097694C,福岡,,,
152550,ペンダントユニット（６２０Ａ）アフター,P620A-10 AFTER,UD0009,福岡,,,
152403,ペンダントユニット,PNA1-4.5J,12010069A,福岡,,,
151125,ペンダントユニット（４．５ｍ，和文）, P360-4.5J,214,福岡,,,
151251,ペンダントユニット（パレチェン用）,PAC20(STEC-AC20),RH0499B,福岡,,,
196784,デジタルサーボドライバー,TA8423N7701E903,A24849,福岡,,,
196784,デジタルサーボドライバー,TA8423N7701E903,A24850,福岡,,,
196747,デジタルサーボドライバー,TA8423N7401E902,A24854,福岡,,,
999999,デジタルサーボドライバー,TA8423N7400E900,A17164,福岡,,,
151154,ペンダントユニット,P470-10,FB2316B,福岡,,,
150851,ペンダントユニット(貸出用）,P450-4C,ND4562A,福岡,,,
152414,ペンダントユニット,P520-4.5,OG0995A,福岡,,,
152414,ペンダントユニット,P520-4.5,WC10841B,福岡,,,
131731,ＮＣ２　ＭＡＩＮ基板,NC2 MAIN BOARD V-03,X22060012,福岡,,,
999999,ペンダント,P610-10A,XC0001,福岡,,,
182768,デジタルサーボドライバー,SDC075LFC,21128658ZQ,福岡,,,
151125,ペンダントユニット（４．５ｍ，和文）,P360-4.5J ,358,広島,,,
151275,ペンダントユニット（４．５ｍ，和文）,P360A-4.5J,確認不可,広島,,,
151325,ペンダントユニット（４ｍ，銘板無し）,P480-4 ,KD1170,広島,,,
151086,ペンダントユニット（１０ｍ，銘板無し）,460-10,FA3023A,広島,,,
150904,ペンダントユニット（銘板無）,P400(400M･411･420･430) ,PI7588D,広島,,,
150904,ペンダントユニット（銘板無）,P400(400M･411･420･430),NK7442D,広島,,,
151085,ペンダントユニット（４ｍ，銘板無し）,P460-4 ,1819,広島,,,
152300,ペンダントユニット（銘板無）,P400NEW(400M･411･420･430),PL7596D,広島,,,
152300,ペンダントユニット（銘板無）,P400NEW(400M･411･420･430),3476,広島,,,
151085,ペンダントユニット（４ｍ，銘板無し）,P460-4,LB4379C,広島,,,
152300,ペンダントユニット（銘板無）,P400NEW(400M･411･420･430),98014891,広島,,,
152300,ペンダントユニット（銘板無）,P400NEW(400M･411･420･430),97063746,広島,,,
151085,ペンダントユニット（４ｍ，銘板無し）,P460-4,KF4124C,広島,,,
151085,ペンダントユニット（５ｍ，銘板無し）,P460-4,BD1404A,広島,,,
150850,ペンダントユニット（２ｍ）,P450-2,KK4427A,広島,,,
150850,ペンダントユニット（２ｍ）,P450-2,2902,広島,,,
150850,ペンダントユニット（２ｍ）,P450-2,99061012,広島,,,
150850,ペンダントユニット（２ｍ）,P450-2,99121677,広島,,,
151325,ペンダントユニット（４ｍ，銘板無し）,P480-4 ,HI0964B,広島,,,
