客先№,客先名,機種名,機種名称,機械№,ＢＯＸ名,客先住所,郵便番号,電話番号
02006-00,株式会社　梅の木　第一工場,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0213,,静岡県島田市横岡５５７－４,428-0004,0547-46-1188
02006-00,株式会社　梅の木　第一工場,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0214,,静岡県島田市横岡５５７－４,428-0004,0547-46-1188
02006-00,株式会社　梅の木　第一工場,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0215,,静岡県島田市横岡５５７－４,428-0004,0547-46-1188
02006-00,株式会社　梅の木　第一工場,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0216,,静岡県島田市横岡５５７－４,428-0004,0547-46-1188
02006-00,株式会社　梅の木　第一工場,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0217,,静岡県島田市横岡５５７－４,428-0004,0547-46-1188
14052-00,コトコ㈱　御殿場,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0087,,静岡県御殿場市保土沢字塚村２７６－１,412-0046,0550-89-1137
02006-00,株式会社　梅の木　第一工場,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0089,,静岡県島田市横岡５５７－４,428-0004,0547-46-1188
04042-00,大庭プラスチック,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0090,,静岡県磐田市福田中島５２０－１,437-1204,05385-5-3225
02006-00,株式会社　梅の木　第一工場,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0091,,静岡県島田市横岡５５７－４,428-0004,0547-46-1188
21070-00,静宏産業株式会社　大諏訪工場,取出機　　　　　　　　　　　　　　　　,RS-600C,RS6-0145,,静岡県沼津市大諏訪４８８,410-0873,055-925-1234
34113-00,㈱ＲＯＫＩ,取出機　　　　　　　　　　　　　　　　,RS-600C,RS6-0146,,静岡県浜松市浜名区中瀬７８００,434-0012,053-588-1368
00123-00,有水商会,取出機　　　　　　　　　　　　　　　　,RS-600C,RS6-0148,,静岡県磐田郡福田町５４９５－３１,437-1200,05385-5-4078
34026-00,共田ライト工業所,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0181,,愛知県春日井市御幸町２－４－２１,486-0953,0568-31-3274
34026-00,共田ライト工業所,プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,愛知県春日井市御幸町２－４－２１,486-0953,0568-31-3274
52005-00,古田定化学工業所,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0051,,岐阜県関市桜本町１－４,501-3232,0575-22-5250
52005-00,古田定化学工業所,プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,岐阜県関市桜本町１－４,501-3232,0575-22-5250
20026-00,サンコー工機,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0196,,長野県埴科郡坂城町大字坂城５２０５,389-0601,0268-82-4082
63005-00,㈱日本製鋼所　名機製作所　本社,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0050,,愛知県大府市北崎町大根２,474-8666,0562-48-2111
63005-00,㈱日本製鋼所　名機製作所　本社,感知機スイッチ式　　　　　　　　　　　,SKC-SW01,,BOXﾅｼ,愛知県大府市北崎町大根２,474-8666,0562-48-2111
90001-00,和光工機㈱(33134-01),プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,愛知県豊田市衣ケ原３－２２,471-0856,0565-32-1611
90001-00,和光工機㈱(33134-01),プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,愛知県豊田市衣ケ原３－２２,471-0856,0565-32-1611
22010-00,鈴木工業㈱,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0082,,岐阜県中津川市駒場１１５３,508-0011,0573-65-4141
04010-00,小田化成,プ－ルコンベア　　　　　　　　　　　　,PC-ｺﾝﾍﾞｱ ﾄｸｼｭ,,,愛知県蒲郡市西浦町神田ケ入５８,443-0105,0533-57-3870
70014-00,ケーブルテクニカ㈱　中川根工場,プ－ルコンベア　　　　　　　　　　　　,PC5000-5,,,静岡県榛原郡川根本町徳山１５７２－１,428-0301,0547-57-2111
83002-00,新和工業㈱　浜松工場,取出機　　　　　　　　　　　　　　　　,T-700,T07-0161,,静岡県引佐郡細江町気賀１８２６,431-1305,053-523-1778
34024-00,三晶ＭＥＣ㈱　中新工場,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0134,,富山県滑川市中新１０２９－１,936-0861,076-475-7195
40014-00,名古屋燐寸㈱,取出機　　　　　　　　　　　　　　　　,TS-600,T06-0131,,愛知県海部郡蟹江町大字蟹江新田字勝田場１,497-0044,05679-5-3135
41026-00,日本利器工業㈱,取出機　　　　　　　　　　　　　　　　,T-700,T07-0182,,岐阜県関市小瀬１２１７－１,501-3265,0575-22-3311
04006-00,㈱オンダ樹研工業,取出機　　　　　　　　　　　　　　　　,RS-500C,RS5-0083,,岐阜県山県市美山町富永２４０,501-2257,0581-52-1048
04006-00,㈱オンダ樹研工業,取出機　　　　　　　　　　　　　　　　,RS-400C,RS4-0257,,岐阜県山県市美山町富永２４０,501-2257,0581-52-1048
