客先№ ,会社名,〒,住所１,住所２,℡,FAX,所属№,所属名,営業所№,営業所名,国№,国名,地区№,地区名,地区
70541-00,ヤマト運輸㈱　神戸西営業所止メ,651-2231,兵庫県神戸市西区櫨谷町寺谷１２４２－６３１,(ｾﾝﾀｰｺｰﾄﾞ:066240),0570-200-766,078-903-3067,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70404-11,ヤマト運輸㈱　平野加美営業所止メ,547-0002,大阪府大阪市平野区加美東３－９－２６,(ｾﾝﾀｰｺｰﾄﾞ:060532),0570-200-000,06-4702-2515,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70199-50,ヤマト運輸㈱　尼崎長洲営業所止メ,660-0805,兵庫県尼崎市西長洲町１－３－３３,(ｾﾝﾀｰｺｰﾄﾞ:061890),0570-200-000,06-6419-6174,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70404-62,ヤマト運輸㈱　南丹営業所止メ,622-0041,京都府南丹市園部町小山東町川向２２－１１,(ｾﾝﾀｰｺｰﾄﾞ:062280),0570-200-000,075-633-2660,225010,滋賀営業所,205,滋賀,101,日本,51,京都,京都府
70199-80,ヤマト運輸㈱　久御山営業所止メ,613-0026,京都府久世郡久御山町西一口西池５－３,(ｾﾝﾀｰｺｰﾄﾞ:062950),0570-200-000,075-633-2660,225010,滋賀営業所,205,滋賀,101,日本,51,京都,京都府
70516-08,ヤマト運輸㈱　長岡京営業所止メ,617-0837,京都府長岡京市久貝１－４２２－１,(ｾﾝﾀｰｺｰﾄﾞ:062962),0570-200-000,075-633-2660,221010,大阪支店,201,大阪,101,日本,51,京都,京都府
70404-75,ヤマト運輸㈱　竜王営業所止メ,520-2531,滋賀県蒲生郡竜王町山之上馬道６６１番地,(ｾﾝﾀｰｺｰﾄﾞ:063022),077-551-1721,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70516-09,ヤマト運輸㈱　彦根営業所（大堀）止メ,522-0026,滋賀県彦根市大堀町３６０－１,(ｾﾝﾀｰｺｰﾄﾞ:063034),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70516-07,ヤマト運輸㈱　湖南営業所（岩根）止メ,520-3254,滋賀県湖南市岩根中央３丁目５９番地,(ｾﾝﾀｰｺｰﾄﾞ:063060),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70199-39,ヤマト運輸㈱　大津志賀営業所止メ,520-1231,滋賀県大津市南船路１２０－２,(ｾﾝﾀｰｺｰﾄﾞ:063070),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70353-98,ヤマト運輸㈱　野洲営業所止メ,524-0214,滋賀県守山市立田町４１２５,(ｾﾝﾀｰｺｰﾄﾞ:063100),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70199-54,ヤマト運輸㈱　滋賀草津営業所止メ,525-0066,滋賀県草津市矢橋町１３２－１,(ｾﾝﾀｰｺｰﾄﾞ:063124),0570-200-000,077-553-9810,225010,滋賀営業所,201,大阪,101,日本,50,滋賀,滋賀県
70446-83,ヤマト運輸㈱　近江八幡営業所止メ,523-0816,滋賀県近江八幡市西庄町２００９,(ｾﾝﾀｰｺｰﾄﾞ:063130）,0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70199-90,ヤマト運輸㈱　甲賀信楽営業所止メ,529-1803,滋賀県甲賀市信楽町牧斧山１７０８,(ｾﾝﾀｰｺｰﾄﾞ:063140),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70516-22,ヤマト運輸㈱　愛知川営業所止メ,529-1313,滋賀県愛知郡愛荘町市字大久保１６３８,(ｾﾝﾀｰｺｰﾄﾞ:063161),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70199-53,ヤマト運輸㈱　橿原営業止メ,634-0074,奈良県橿原市四分町９９－１,(ｾﾝﾀｰｺｰﾄﾞ:064011),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70354-10,ヤマト運輸㈱　奈良五条営業所止メ,637-0004,奈良県五條市今井４－３－４１,(ｾﾝﾀｰｺｰﾄﾞ:064030),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70353-03,ヤマト運輸㈱　大和高田営業所止メ,639-2113,奈良県葛城市北花内口ノ町６２１,(ｾﾝﾀｰｺｰﾄﾞ:064112),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70404-69,ヤマト運輸㈱　橿原八木営業所止メ,634-0008,奈良県橿原市十市町字高田９１５－１,(ｾﾝﾀｰｺｰﾄﾞ:064170),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70516-34,ヤマト運輸㈱和歌山南インター営業所止,640-0332,和歌山県和歌山市冬野１４３９－１,(ｾﾝﾀｰｺｰﾄﾞ:065051),0570-200-000,073-499-4572,221010,大阪支店,201,大阪,101,日本,53,和歌山,和歌山県
70353-27,ヤマト運輸㈱　和歌山中央営業所止メ,640-8404,和歌山県和歌山市湊字青岸坪１４１４,(ｾﾝﾀｰｺｰﾄﾞ:065072),0570-200-000,073-499-4572,221010,大阪支店,201,大阪,101,日本,53,和歌山,和歌山県
70199-47,ヤマト運輸㈱　淡路営業所（淡路南）止メ,656-0101,兵庫県洲本市納３１２－３,(ｾﾝﾀｰｺｰﾄﾞ:066282),0570-200-000,078-903-3067,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70404-38,ヤマト運輸㈱　西脇営業所止メ,677-0054,兵庫県西脇市野村町字大日ノ下７９４－１,(ｾﾝﾀｰｺｰﾄﾞ:066902),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70446-93,ヤマト運輸㈱　加西営業所（繁昌）止メ,675-2101,兵庫県加西市繁昌町字南ノ岡乙４,(ｾﾝﾀｰｺｰﾄﾞ:067041),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70353-09,ヤマト運輸㈱　たつの営業所止メ,679-4002,兵庫県たつの市揖西町中垣内字前田乙３０－１,(ｾﾝﾀｰｺｰﾄﾞ:067162),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70199-36,ヤマト運輸㈱　姫路飾磨営業所止メ,672-8083,兵庫県姫路市飾磨区城南町３－８１－１,(ｾﾝﾀｰｺｰﾄﾞ:067470),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70354-12,ヤマト運輸㈱　和泉光明営業所止メ（光明）,596-0103,大阪府岸和田市稲葉町２７９－１,(ｾﾝﾀｰｺｰﾄﾞ:069191),0570-200-000,06-6655-1753,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70353-79,ヤマト運輸㈱　和泉光明営業所止メ,596-0103,大阪府岸和田市稲葉町２７９－１,(ｾﾝﾀｰｺｰﾄﾞ:069193),0570-200-000,06-6655-1753,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70353-72,ヤマト運輸㈱　総社営業所止メ,719-1154,岡山県総社市井尻野４８９－５,(ｾﾝﾀｰｺｰﾄﾞ:070030),0570-200-000,086-277-3989,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70199-26,ヤマト運輸㈱　倉敷中央営業所止メ,710-0834,岡山県倉敷市笹沖３６２－３,(ｾﾝﾀｰｺｰﾄﾞ:070302),0570-200-000,086-277-3989,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
